6 235197 1271341651 125814918 14510 26 2047 5 8 10
31 235118 1271341651 125814932 7407 18 1556 8 10 8
47 235041 1271341651 125814941 17651 26 2047 6 10 9
63 234962 1271341651 125814906 25323 39 2047 6 12 10
79 234885 1271341651 125814946 17506 26 2047 6 10 17
87 234802 1271341651 125814920 7783 23 665 7 8 9
7 235196 1271341651 125814917 12685 25 2018 5 8 10
22 235117 1271341651 125814942 10157 25 1149 6 8 7
38 235039 1271341651 125814911 16914 36 1714 6 10 9
54 234961 1271341651 125814938 8915 22 1127 7 9 8
71 234882 1271341651 125814924 22015 39 2047 6 11 68
23 235115 1271341651 125814942 18462 24 2047 9 13 6
39 235038 1271341651 125814911 22661 26 2047 13 18 7
55 234959 1271341651 125814939 7899 22 1222 8 9 4
