237.461 21.444 3C324  B1530+27,J1549+2113
237.469 62.683 3C325  B1508+55
238.112 20.123 3C326  B1534+12,B1530+27,J1549+2113
239.045 20.091 3C326.1  J1549+2113
240.628 01.919 3C327  B1541+09,B1604-00,B1612+07
241.193 01.266 3C327.1  B1604-00,B1612+07
242.330 66.037 3C330  NONE
244.426 32.345 3C332  B1633+24,B1639+36A,J1641+3627E,J1641+3627D,J1641+3627C,J1605+3249,B1639+36B
245.090 17.408 3C334  B1633+24,J1627+1419,J1549+2113,J1640+2224
246.165 23.755 3C336  J1652+2651,B1633+24,J1649+2533,J1549+2113,J1640+2224
247.026 27.699 3C341  J1652+2651,B1633+24,J1649+2533,J1640+2224,J1605+3249
247.165 39.556 3C338  B1639+36A,J1641+3627E,J1641+3627D,J1641+3627C,J1605+3249,B1639+36B
247.208 44.225 3C337  B1639+36A,J1641+3627E,J1641+3627D,J1641+3627C,B1639+36B
247.405 23.385 3C340  J1652+2651,B1633+24,J1649+2533,J1640+2224
248.712 62.699 3C343  NONE
249.659 62.703 3C343.1  NONE
250.750 39.757 3C345  B1639+36A,J1641+3627E,J1641+3627D,J1641+3627C,B1639+36B
250.954 17.236 3C346  B1633+24,J1649+2533,J1627+1419,J1709+2313,J1645+1012,J1640+2224
252.785 04.980 3C348  B1642-03,J1713+0747,J1645+1012
254.893 47.060 3C349  NONE
256.170 60.733 3C351  NONE
257.672 45.973 3C352  NONE
260.129 -0.999 3C353  J1713+0747,B1718-02,B1732-07,B1726-00,B1732-02,B1740-03,J1745-0129,J1739+0612,J1738+0333,J1736+05,J1725-0732
261.076 50.964 3C356  B1753+52
262.081 31.744 3C357  J1758+3030,J1741+2758,J1746+2540
268.239 05.590 3C363.1  J1740+1000,B1726-00,B1737+13,J1811+0702,J1822+0705,J1814+1130,B1821+05
271.262 10.955 3C368  J1740+1000,B1737+13,J1828+1359,J1811+0702,J1821+1715,J1813+1822,J1822+0705,J1819+1305,J1814+1130,B1821+05,J1756+18
271.646 69.925 3C371  NONE
273.833 -3.583 3C372.1  B1822-09,B1740-03,B1822+00,B1831-04
276.249 74.431 3C379.1  NONE
277.387 48.722 3C380  B1839+56,B1811+40,B1753+52
278.458 47.440 3C381  B1811+40,B1753+52
278.764 32.695 3C382  J1758+3030,B1811+40,J1849+2423,J1829+2456,J1900+30
279.606 17.165 3C386  B1855+09,J1829+2456,J1838+1650,B1842+14,J1911+1758,B1839+09,J1828+1359,B1848+13,J1821+1715,J1813+1822,J1849+2423,B1913+167,J1909+1859,J1819+1305,J1814+1130,B1848+12,J1901+1306
281.016 45.586 3C388  B1905+39,B1811+40
281.393 09.870 3C390  J1908+0734,B1855+09,J1848+0647,J1917+0834,J1838+1650,J1915+0738,B1842+14,B1839+09,J1828+1359,J1811+0702,B1848+13,B1914+09,J1822+0705,J1819+1305,J1814+1130,B1821+05,B1848+12,J1901+1306
281.578 -3.329 3C389  B1822-09,J1918-0642,B1822+00,J1901-0906,B1831-04
281.609 06.655 3C390.1  J1908+0734,B1855+09,J1848+0647,J1917+0834,J1915+0738,B1842+14,B1839+09,J1828+1359,B1822+00,J1811+0702,B1848+13,B1914+09,J1822+0705,B1821+05,B1848+12,J1901+1306
281.956 -3.144 3C390.2  B1822-09,J1918-0642,B1822+00,J1901-0906,B1831-04
280.638 80.054 3C390.3  NONE
282.341 -0.925 3C391  J1848+0647,B1822+00,J1901-0906,B1831-04
284.026 01.299 3C392  J1908+0734,B1855+09,J1848+0647,J1915+0738,B1839+09,B1822+00,B1831-04
284.837 13.003 3C394  B1929+10,J1908+0734,J1918+1541,B1855+09,B1916+14,J1848+0647,J1917+0834,J1838+1650,J1915+0738,B1842+14,J1911+1758,B1839+09,J1828+1359,B1848+13,B1914+09,B1913+167,J1909+1859,B1848+12,J1901+1306
286.014 05.467 3C396  B1929+10,J1908+0734,B1855+09,J1848+0647,J1917+0834,J1915+0738,B1839+09,B1848+13,B1914+09,B1848+12,J1938+0650,J1901+1306
286.781 -3.121 3C396.1  J1918-0642,J1911-1114,J1901-0906,B1831-04
286.888 07.158 3C397  B1929+10,J1908+0734,J1918+1541,B1855+09,B1916+14,J1848+0647,J1917+0834,J1915+0738,B1839+09,B1848+13,B1914+09,B1848+12,J1938+0650,J1901+1306
287.782 09.095 3C398  B1929+10,J1908+0734,J1918+1541,B1855+09,J1944+0907,B1916+14,J1848+0647,J1917+0834,J1915+0738,B1842+14,J1911+1758,B1839+09,B1848+13,B1914+09,B1913+167,B1848+12,J1938+0650,J1901+1306
